1031116,鸡蛋馄饨汤,6.0,10311
1031201,蔬菜过桥米线（面）,8.0,10312
1031202,火腿过桥米线（面）,9.0,10312
1031203,鱼豆腐过桥米线（面）,9.0,10312
1031204,菠菜丸过桥米线（面）,9.0,10312
1031205,蟹棒过桥米线（面）,9.0,10312
1031206,桂花肠过桥米线（面）,9.0,10312
1031207,香菇脆过桥米线（面）,10.0,10312
1031208,章（墨）鱼丸过桥米线（面）,10.0,10312
1031209,牛羊肉过桥米线（面）,12.0,10312
1031301,砂锅豆腐面,8.0,10313
1031302,砂锅火腿面,8.0,10313
1031303,砂锅鱼豆腐面,8.0,10313
1031304,砂锅菠菜丸面,8.0,10313
1031305,砂锅蟹棒面,8.0,10313
1031306,砂锅桂花肠面,8.0,10313
1031307,砂锅香菇脆面,9.0,10313
1031308,砂锅章（墨）鱼丸面,9.0,10313
1031309,砂锅牛肉面,10.0,10313
1031401,西红柿鸡蛋刀削面,7.0,10314
1031402,香菇鸡丁刀削面,7.0,10314
1031403,炸酱肉丝刀削面,7.0,10314
1031404,酸菜肉丝刀削面,7.0,10314
1031405,牛肉油泼刀削面,8.0,10314
1031406,小盘鸡刀削面,10.0,10314
1031407,麻辣担担面,8.0,10314
1031408,酸菜担担面,9.0,10314
1031409,豌豆担担面,9.0,10314
1031410,牛肉担担面,10.0,10314
1031411,肉沫担担面,10.0,10314
1031412,肉沫干拌面,10.0,10314
1031501,素菜菌类（斤）,13.0,10315
1031502,海鲜肉类（斤）,30.0,10315
1031601,素菜套餐,12.0,10316
1031602,麻辣拌面,12.0,10316
1031603,麻辣鸡架,12.0,10316
1031604,荤素套餐,15.0,10316
1031605,荤素套餐,18.0,10316
1031701,水煮鱼,13.8,10317
1031702,酸菜鱼,13.8,10317
1031703,水煮肉片,13.8,10317
1031704,麻辣酥肉,13.8,10317
1031705,海鲜毛血旺,13.8,10317
1031801,素石锅,8.0,10318
1031802,培根石锅饭,12.8,10318
1031803,鸡柳石锅饭,12.8,10318
1031804,传统石锅拌饭,12.8,10318
1031805,五花肉石锅饭,12.8,10318
1031806,孜然羊肉石锅饭,12.8,10318
1031807,小笋腊肉石锅饭,12.8,10318
1031808,芝士鸡柳石锅饭,13.8,10318
1031809,丁香鱼石锅饭,13.8,10318
1031810,广味香肠石锅饭,13.8,10318
1031811,鲜香带鱼石锅饭,13.8,10318
1031812,鲜香狮头鱼石锅饭,13.8,10318
1031901,蔬菜米线,8.0,10319
1031902,鱼豆腐米线,10.0,10319
1031903,墨鱼丸米线,10.0,10319
1031904,肥牛米线,10.0,10319
1031905,火锅排骨面,15.0,10319
1031906,火锅肥牛面,15.0,10319
1031907,火锅牛肉面,15.0,10319
1031908,火锅鱼丸面,12.0,10319
1031909,火锅鸡面,14.0,10319
1031910,陕西臊子面,10.0,10319
1031911,油泼面,8.0,10319
1031912,麻酱拌面,8.0,10319
1031913,炸酱面,9.0,10319
1031914,鸡丝拌面,10.0,10319
1031915,青椒肉丝拌面,12.0,10319
1031916,蔬菜面,9.0,10319
1031917,臊子面,10.0,10319
1031918,鱼丸面,10.0,10319
1031919,红烧排骨面,15.0,10319
1031920,牛肉面,15.0,10319
1031921,麻辣面,9.0,10319
1031922,青椒肉丝汤面,12.0,10319
1032001,拌米线,9.0,10320
1032002,热汁米皮,9.0,10320
1032003,鸡丝米皮,12.0,10320
1032004,牛肉米皮,15.0,10320
1032005,肥牛米皮,15.0,10320
1032006,牛筋面,9.0,10320
1032007,炸酱粗粮面,9.0,10320
1032008,蔬菜粗粮面,8.0,10320
1032009,杂丸粗粮面,11.0,10320
1032010,火锅素面,10.0,10320
1032011,火锅鱼丸面,12.0,10320
